"year","binipolate","avg_p","weighted_avg_p","avg_p_NI","weighted_avg_p_NI","binipolate_NI"
1973,20.6836577682521,20.6417362724324,20.6387703518489,20.6417362724324,20.6387703518489,20.6836577682521
1974,20.3038772080477,20.2712071593298,20.2838669591375,20.2712071593298,20.2838669591375,20.3038772080477
1975,20.3549256634685,20.347102004153,20.3686057184712,20.347102004153,20.3686057184712,20.3549256634685
1976,20.1672982019224,20.1960779480335,20.1569571185946,20.1960779480335,20.1569571185946,20.1672982019224
1977,20.3380061447544,20.2619359455925,20.2496906000906,20.2619359455925,20.2496906000906,20.3380061447544
1978,20.3735173218167,20.3414600780693,20.3563707797552,20.3414600780693,20.3563707797552,20.3735173218167
1979,20.0391269408634,20.2217372155651,20.0781506899156,19.9453852384691,19.8445883365706,19.8628988950471
1980,19.9116655601959,19.9099333856664,19.8976300848095,19.5268868654793,19.5061274227525,19.5314112836841
1981,19.6915571536039,19.7036395503398,19.7017939602313,19.3633324788219,19.3944021779442,19.42754982527
1982,19.6034748092905,19.7229092136134,19.6702272739834,19.3754749167286,19.319922700351,19.2841291095655
1983,19.6493391558927,19.5728755875133,19.5852739031425,19.3083551667167,19.286739125853,19.2460217881789
1984,19.7425639829349,19.7622344696631,19.7626617905372,19.4679561460409,19.4641659584695,19.5314637098304
1985,20.0632321312039,19.9457861142226,19.9496177068533,19.6967210368038,19.6959848753688,19.7219868510828
1986,20.2085756867111,20.315521540545,20.3144544295543,20.0778282777536,20.0681121117551,20.0553135774846
1987,20.4493948604881,20.3507899678533,20.3405317640672,20.0313924398248,20.0294809327916,20.1087466565679
1988,20.1575882843853,20.3060369788785,20.2584042156437,19.9807858610491,19.9699397095396,19.9679443568259
1989,20.1318391023849,20.1531691878467,20.1355212002656,20.3778297899246,20.3980596728402,20.4319201445276
1990,20.0891370012895,19.9757751976998,19.9856071444252,20.1978382991551,20.198474161112,20.2515155352452
1991,19.9265468782723,20.1156326924541,20.0454137479432,20.3537091047191,20.300018375748,20.1429404375676
1992,20.1317563218862,20.1336943742511,20.1104357416546,20.3041309192713,20.3254711496152,20.3626586358073
1993,20.4304016250694,20.1040787604205,20.2051211319999,20.1929971977307,20.3385915391815,20.6332060970083
1994,20.2226940635867,19.9048143717461,20.012227064019,19.9048143717461,20.012227064019,20.2226940635867
1995,19.9335230795779,19.9056005563506,19.9144083139121,19.9000541905315,19.9108142840951,19.9293726005345
1996,19.6091413520683,19.8922365926935,19.7968001522457,19.9562440280115,19.8459972775056,19.6445335015428
1997,20.0215684124807,20.0425686481228,20.0093049446655,20.0857771543348,20.0529454189429,20.0726026560824
1998,20.7220145601207,20.7993916615293,20.7888888785519,20.7390313064873,20.7394587057568,20.6974647297118
1999,21.2477190842121,21.2709272111561,21.2853097533154,21.4422095816144,21.4594649968715,21.4697559664684
2000,21.37515182772,21.3944715632672,21.3892673944271,21.5711330852147,21.5427855599785,21.4379038048324
2001,21.7011417920966,21.7700134544301,21.7301734798649,21.9950825621512,21.9728624616248,21.8958331250452
2002,22.0371216604362,22.0313299397143,22.0118845854497,22.2594739306491,22.2569273757393,22.182393784276
2003,22.0476428306017,22.1922569210758,22.1619286747606,22.4336033782007,22.433676625134,22.4568103500037
2004,22.3085611314157,22.199027310785,22.1998598410493,22.4703850525995,22.4557606158245,22.545169854834
2005,21.9624199105353,21.9556190930862,21.9544292996729,22.2671850565554,22.2856667008525,22.1552354222792
2006,22.0522144925903,21.9651676203271,22.0027403415315,22.241628774968,22.2655215207767,22.4089620223309
2007,22.0885399151609,21.9920935161402,21.9894376797247,22.1719976272988,22.1636475452587,22.1603603624879
2008,21.9261060460723,22.0037377961188,21.9588067644043,22.2915454012262,22.2245720517608,22.1768808985216
2009,22.3923530937764,22.4734689335892,22.4197054914756,22.6776812309799,22.6459222947179,22.6921011125672
2010,22.2641989892596,22.2156959367822,22.1591008559482,22.2842826364217,22.2490856114876,22.3223404850954
2011,21.7180055769166,21.6961800482404,21.683908943238,21.8148576950392,21.7996725235035,21.7943152394328
2012,21.4599638208584,21.529549858493,21.5314080270962,21.7465331743417,21.7620426240745,21.6762148960925
2013,21.5697660902536,21.5628687743785,21.5874944043178,21.6815937154471,21.6734264599867,21.7612205578827
2014,21.5896551190941,21.5371565202613,21.5330979465405,21.7992088001276,21.8146699269467,21.8448408876989
2015,21.9291364061604,21.9726714530132,21.9692937567751,22.3799236078918,22.3678385023502,22.2435889255326
2016,22.3179808861434,22.4132070629748,22.3899619559311,22.7789044396655,22.7529864582023,22.803368256956
2017,22.5143041119465,22.6501329752348,22.6431707820919,23.0971699847799,23.0899954044843,23.0264992856618
2018,22.9053016740307,22.8183605540964,22.8005708325576,23.3255296961395,23.3681434439389,23.3962900660058
2019,23.1140617779561,23.1388931462496,23.2052999466712,23.7915920596072,23.7766564580395,23.8592722978299
2020,24.6975009518425,24.7314688740207,24.6585543687958,25.483325781759,25.4952683480939,25.5997373573196
2021,24.0525592637752,24.0262105594184,24.0123822682143,24.9020275217923,24.8740015907886,24.7898833037964
2022,23.8290233628676,23.6979680515938,23.724450267861,24.4822893356272,24.4864712115513,24.5409068315878
2023,23.9754856635705,23.9215128156874,23.9439784240723,24.7165508270264,24.7362183380127,24.9218400747642
